"nimetus";"allasutus";"link";"variable";"value";"kanal";"naitaja"
"x-teega liitumine (test, toodang)";"Riigi Infosüsteemi Amet (RIA)";"https://riha.eesti.ee";"Veebileht.osutamistearv";334;"Veebileht";"osutamistearv"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"Ettevõtete majandusnäitajad (kvartal)";"Statistikaamet";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.osutamistearv";1898;"Veebileht";"osutamistearv"
"Eesti statistika aastaraamat";"Statistikaamet";"http://www.stat.ee/90732";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"x-teega liitumine (test, toodang)";"Riigi Infosüsteemi Amet (RIA)";"https://riha.eesti.ee";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"Ettevõtete majandusnäitajad (kvartal)";"Statistikaamet";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"Eesti statistika aastaraamat";"Statistikaamet";"http://www.stat.ee/90732";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"x-teega liitumine (test, toodang)";"Riigi Infosüsteemi Amet (RIA)";"https://riha.eesti.ee";"Veebileht.halduskulu";0;"Veebileht";"halduskulu"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Veebileht.halduskulu";NA;"Veebileht";"halduskulu"
"Ettevõtete majandusnäitajad (kvartal)";"Statistikaamet";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.halduskulu";202500;"Veebileht";"halduskulu"
"Eesti statistika aastaraamat";"Statistikaamet";"http://www.stat.ee/90732";"Veebileht.halduskulu";56700;"Veebileht";"halduskulu"
"x-teega liitumine (test, toodang)";"Riigi Infosüsteemi Amet (RIA)";"https://riha.eesti.ee";"Veebileht.ajakulu";0;"Veebileht";"ajakulu"
"Ettevõtja otsing majandustegevuse registrist";"Majandus- ja Kommunikatsiooniministeerium";"mtr.mkm.ee";"Veebileht.ajakulu";NA;"Veebileht";"ajakulu"
"Ettevõtete majandusnäitajad (kvartal)";"Statistikaamet";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.ajakulu";1;"Veebileht";"ajakulu"
