"identifikaator";"tegevusvaldkond";"tyyp";"ministeerium";"allasutus";"makse";"link";"variable";"value";"kanal";"naitaja"
"RIA-007";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.osutamistearv";334;"Veebileht";"osutamistearv"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.osutamistearv";NA;"Veebileht";"osutamistearv"
"STAT-001";"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.osutamistearv";1898;"Veebileht";"osutamistearv"
"KKA-002";"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenus.keskkonnaamet.ee/";"Veebileht.osutamistearv";20;"Veebileht";"osutamistearv"
"RIA-007";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.rahulolu";0;"Veebileht";"rahulolu"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"STAT-001";"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.rahulolu";34;"Veebileht";"rahulolu"
"KKA-002";"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenus.keskkonnaamet.ee/";"Veebileht.rahulolu";NA;"Veebileht";"rahulolu"
"RIA-007";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.halduskulu";0;"Veebileht";"halduskulu"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.halduskulu";NA;"Veebileht";"halduskulu"
"STAT-001";"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.halduskulu";202500;"Veebileht";"halduskulu"
"KKA-002";"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenus.keskkonnaamet.ee/";"Veebileht.halduskulu";NA;"Veebileht";"halduskulu"
"RIA-007";"Riigi infosüsteemide kasutamine";"Liitumine / Registreerumine";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Riigi Infosüsteemi Amet (RIA)";"Kliendile tasuta";"https://riha.eesti.ee";"Veebileht.ajakulu";0;"Veebileht";"ajakulu"
"MKM-030";"Erinõuetega tegevusalad";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Majandus- ja Kommunikatsiooniministeerium";"Kliendile tasuta";"mtr.mkm.ee";"Veebileht.ajakulu";NA;"Veebileht";"ajakulu"
"STAT-001";"Ettevõtlus";"Aruandlus";"Rahandusministeeriumi haldusala";"Statistikaamet";"Kliendile tasuta";"http://pub.stat.ee/px-web.2001/Database/Majandus/databasetree.asp";"Veebileht.ajakulu";1;"Veebileht";"ajakulu"
"KKA-002";"Keskkond";"Diplom/Tunnistus/Luba/ Setifikaat/Kooskõlastus";"Keskkonnaministeeriumi haldusala";"Keskkonnaamet";"Riigilõiv, riigimaks (tollimaks)";"https://eteenus.keskkonnaamet.ee/";"Veebileht.ajakulu";NA;"Veebileht";"ajakulu"
"TKA-006";"Tarbijakaitse";"Teabenõue/Märgukiri/Vaie";"Majandus- ja Kommunikatsiooniministeeriumi haldusala";"Tarbijakaitseamet";"Kliendile tasuta";"https://takis.tarbijakaitseamet.ee/avalik/poordumised";"Eiseteenindus.osutamistearv";0;"Eiseteenindus";"osutamistearv"
